,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Price_binned,Full HD,IPS Panel
24,Dell,3,1,2,3,39.62,0.6896551724137931,4,256,2.2,616,Low,True,False
25,Asus,3,3,1,3,39.62,0.8275862068965517,6,256,2,733,Low,True,False
26,HP,3,1,1,7,39.62,0.9310344827586208,8,256,1.91,913,Low,True,False
27,HP,4,3,1,7,33.02,0.9310344827586208,8,256,1.38,1421,Low,False,True
28,HP,3,3,1,5,35.56,0.8620689655172414,6,256,1.863362068965517,837,Low,False,True
29,Asus,4,3,1,7,35.56,0.9310344827586208,8,256,1.3,1515,Low,False,True
30,Lenovo,3,2,1,7,35.56,0.9310344827586208,8,256,1.58,1880,Medium,False,True
31,Dell,4,2,1,5,33.02,0.5517241379310345,8,256,1.21,2069,Medium,False,True
32,Asus,3,3,1,7,39.62,0.6206896551724138,8,256,1.7,1420,Low,True,False
33,HP,3,2,1,5,43.94,0.5517241379310345,8,256,2.5,1179,Low,True,False
34,Acer,4,2,1,7,35.56,0.6206896551724138,8,256,1.6,1123,Low,False,True
35,Acer,3,3,1,3,39.62,0.9310344827586208,4,256,2.2,727,Low,True,False
36,HP,3,2,1,7,35.56,0.6206896551724138,8,256,1.63,1255,Low,True,False
37,HP,3,2,1,5,33.02,0.8620689655172414,4,256,1.863362068965517,888,Low,False,True
38,Lenovo,3,1,1,5,35.56,0.5517241379310345,8,256,1.75,1418,Low,False,True
39,Asus,4,2,1,7,35.56,0.6206896551724138,8,256,1.25,1396,Low,True,False
40,HP,4,2,1,5,35.56,0.9310344827586208,4,256,1.48,1374,Low,True,False
41,HP,3,1,1,5,39.62,0.5517241379310345,6,256,1.91,786,Low,True,False
42,Acer,3,3,1,5,43.18,0.5517241379310345,4,256,3,1023,Low,False,True
43,Dell,3,1,1,5,39.62,0.5517241379310345,8,256,2.13,925,Low,True,False
44,Lenovo,1,3,1,7,38.1,0.9655172413793103,16,256,2.5,1371,Low,False,True
45,Acer,3,3,1,5,43.18,0.5517241379310345,8,256,3,1085,Low,False,True
46,Huawei,4,2,1,5,33.02,0.8620689655172414,8,256,1.05,1714,Medium,False,True
47,HP,3,3,1,5,43.94,0.5517241379310345,8,256,2.5,1172,Low,True,False
48,Dell,4,2,1,5,33.78,0.5517241379310345,8,256,1.863362068965517,1777,Medium,True,False
49,Acer,4,2,1,5,33.02,0.41379310344827586,8,256,1.12,1256,Low,False,True
50,HP,3,3,1,7,43.94,0.6206896551724138,8,256,2.5,1327,Low,True,False
51,Dell,4,2,1,7,33.78,0.6206896551724138,8,256,1.2,1841,Medium,True,False
52,Dell,4,1,1,7,33.02,0.6206896551724138,8,256,1.4,1184,Low,False,True
53,HP,3,3,1,7,35.56,0.6206896551724138,8,256,1.63,1310,Low,True,False
54,Dell,4,2,1,5,35.56,0.5517241379310345,8,256,1.6,1460,Low,True,False
55,Dell,3,1,2,5,39.62,0.5517241379310345,8,256,2.2,860,Low,True,False
56,Toshiba,4,2,1,7,33.78,0.8620689655172414,8,256,1.2,1731,Medium,True,False
57,Acer,3,3,1,7,39.62,0.9310344827586208,8,256,2.2,1057,Low,True,False
58,Asus,3,3,1,5,39.62,0.8620689655172414,8,256,2,977,Low,True,False
59,Dell,3,2,1,5,35.56,0.8620689655172414,8,256,1.6,1091,Low,True,False
60,Dell,3,1,2,7,39.62,0.9310344827586208,16,256,1.863362068965517,1142,Low,True,False
61,Acer,1,3,1,5,38.1,0.8620689655172414,8,256,2.5,1075,Low,False,True
62,Dell,1,3,1,5,39.62,0.8620689655172414,8,256,2.56,1117,Low,True,False
63,Asus,1,3,1,7,43.94,1.0,16,256,3.6,3810,High,True,False
64,Acer,3,3,1,3,43.18,0.9310344827586208,4,256,3,892,Low,False,True
65,Dell,4,2,1,5,33.78,0.5517241379310345,8,256,1.41,1206,Low,True,False
66,Lenovo,3,2,1,7,39.62,0.6206896551724138,8,256,2.05,1118,Low,True,False
67,Dell,3,1,2,7,39.62,0.6206896551724138,8,256,1.863362068965517,934,Low,True,False
68,Lenovo,1,3,1,5,38.1,0.8620689655172414,8,256,2.5,1053,Low,False,True
69,Lenovo,3,2,1,5,39.62,0.8620689655172414,6,256,2.2,735,Low,True,False
70,Acer,3,3,1,7,38.1,0.6206896551724138,8,256,3,1208,Low,False,True
71,Lenovo,3,2,1,7,38.1,0.9310344827586208,8,256,1.95,1394,Low,False,True
72,Asus,4,3,1,5,39.62,0.8620689655172414,8,256,1.7,1241,Low,True,False
73,Dell,3,3,1,7,39.62,0.9655172413793103,8,256,2,2323,Medium,True,False
74,Lenovo,3,2,1,5,39.62,0.5517241379310345,8,256,2.05,939,Low,True,False
75,Acer,3,3,2,7,39.62,0.9655172413793103,8,256,2.5,1244,Low,True,False
76,Dell,5,3,1,7,43.94,1.0,16,256,3.42,3665,High,True,False
77,Toshiba,3,3,1,7,38.1,0.8620689655172414,8,256,2.2,1325,Low,False,True
78,Lenovo,3,2,1,5,33.02,0.8620689655172414,8,256,1.1,1269,Low,False,True
79,HP,3,2,1,5,35.56,0.8620689655172414,8,256,1.95,1245,Low,True,False
80,HP,3,2,1,7,35.56,0.9310344827586208,8,256,1.48,1641,Medium,True,False
81,Asus,3,2,1,7,35.56,0.9310344827586208,8,256,2,1390,Low,True,False
82,Asus,4,3,1,7,39.62,0.9310344827586208,8,256,1.7,1334,Low,True,False
83,HP,4,2,1,7,31.75,0.9310344827586208,8,256,1.26,1696,Medium,True,False
84,Toshiba,3,2,1,5,38.1,0.8620689655172414,8,256,2,1198,Low,False,True
85,Asus,1,3,1,7,39.62,0.9655172413793103,8,256,2.5,1269,Low,True,False
86,HP,3,2,1,5,35.56,0.896551724137931,8,256,1.48,1611,Low,True,False
87,HP,3,2,1,5,39.62,0.8620689655172414,8,256,1.84,1453,Low,True,False
88,Dell,3,3,1,5,39.62,0.5517241379310345,8,256,2,1452,Low,True,False
89,Dell,4,2,1,7,33.78,0.6206896551724138,8,256,1.2,2006,Medium,True,False
90,HP,3,2,1,7,39.62,0.9310344827586208,8,256,1.84,1656,Medium,True,False
91,HP,5,3,1,7,39.62,0.9655172413793103,8,256,2.6,2208,Medium,True,False
92,Dell,3,2,1,5,35.56,0.896551724137931,8,256,1.36,1813,Medium,True,False
93,Asus,3,2,1,5,35.56,0.8620689655172414,8,256,2,1200,Low,True,False
94,Dell,3,1,1,7,39.62,0.9310344827586208,8,256,2.33,1142,Low,True,False
95,HP,4,2,1,7,35.56,0.9310344827586208,8,256,1.36,2223,Medium,False,True
96,Lenovo,3,3,1,5,35.56,0.8620689655172414,8,256,1.5,1396,Low,False,True
97,Lenovo,3,2,1,3,33.02,0.8275862068965517,4,128,1.5,697,Low,False,True
98,Dell,5,3,1,7,38.1,0.9310344827586208,8,256,2,2712,Medium,False,True
99,MSI,1,3,1,7,43.94,0.9655172413793103,8,256,2.7,1714,Medium,True,False
100,Dell,3,1,2,7,39.62,0.9310344827586208,8,256,2.33,989,Low,True,False
101,Lenovo,3,1,1,7,38.1,0.6206896551724138,8,256,2.1,1562,Low,False,True
102,Lenovo,3,2,1,5,35.56,0.8620689655172414,8,256,1.9,1192,Low,False,True
103,Acer,3,3,2,7,39.62,0.9655172413793103,8,256,2.5,1117,Low,True,False
104,Dell,3,1,2,5,39.62,0.8620689655172414,4,256,2.3,761,Low,True,False
105,HP,4,2,1,7,35.56,0.8620689655172414,8,256,1.43,1905,Medium,True,False
106,Lenovo,4,1,1,7,35.56,0.6206896551724138,8,256,1.75,1544,Low,False,True
107,HP,3,2,1,7,39.62,1.0,8,256,2.31,1813,Medium,True,False
108,Dell,4,2,2,7,35.56,0.9655172413793103,8,256,1.6,1396,Low,True,False
109,Lenovo,3,2,1,7,33.02,0.9310344827586208,8,256,1.4,1283,Low,False,True
110,Lenovo,3,2,1,3,35.56,0.9310344827586208,4,128,1.7,761,Low,False,True
111,Asus,3,2,2,5,39.62,0.8620689655172414,4,256,2,710,Low,True,False
112,Dell,3,1,1,5,39.62,0.5517241379310345,4,256,2.2,951,Low,True,False
113,Lenovo,4,2,1,5,30.48,0.8620689655172414,8,256,1.36,1815,Medium,False,True
114,Dell,3,3,1,5,35.56,0.9655172413793103,8,256,1.64,1498,Low,True,False
115,MSI,1,3,1,5,39.62,0.8620689655172414,8,256,2.2,1306,Low,True,False
116,Dell,5,3,1,7,38.1,0.9310344827586208,16,256,2.17,2509,Medium,False,True
117,Lenovo,3,2,1,5,35.56,0.8620689655172414,8,256,1.65,1709,Medium,True,False
118,Lenovo,3,3,1,7,39.62,1.0,8,256,2.67,2655,Medium,True,False
119,Dell,4,2,1,5,37.2751931330472,0.5517241379310345,8,256,1.42,2340,Medium,True,False
120,Dell,5,3,1,7,39.62,0.9655172413793103,8,256,1.78,3059,High,True,False
121,Toshiba,3,2,1,5,33.02,0.8620689655172414,8,256,1.05,2124,Medium,False,True
122,HP,3,2,1,5,33.02,0.5517241379310345,4,128,1.49,922,Low,False,True
123,Lenovo,3,2,1,5,35.56,0.5517241379310345,8,256,1.75,1333,Low,False,True
124,Lenovo,3,3,1,5,38.1,0.8620689655172414,8,256,2.3,1286,Low,False,True
125,Lenovo,3,2,1,7,39.62,0.6206896551724138,8,256,2.17,1142,Low,True,False
126,Lenovo,3,2,1,3,33.02,0.8275862068965517,8,256,1.4,1206,Low,False,True
127,Lenovo,3,2,1,5,38.1,0.8620689655172414,8,256,2.3,1157,Low,False,True
128,Lenovo,3,2,1,5,33.78,0.8620689655172414,8,256,1.44,1206,Low,True,False
129,Dell,4,2,1,5,33.78,0.8620689655172414,8,128,1.29,1142,Low,False,True
130,HP,3,3,1,5,39.62,0.8620689655172414,8,256,2.04,1129,Low,True,False
131,HP,4,2,1,7,33.02,0.9310344827586208,8,256,1.32,1777,Medium,False,True
132,Dell,3,2,1,5,35.56,0.896551724137931,8,256,1.64,1626,Medium,True,False
133,Lenovo,3,2,1,5,35.56,0.793103448275862,8,256,2.02,1702,Medium,True,False
134,Dell,3,2,1,5,39.62,0.9655172413793103,8,256,1.9,1749,Medium,True,False
135,Dell,3,3,1,7,39.62,0.9655172413793103,8,256,1.93,1739,Medium,True,False
136,Dell,3,1,1,5,39.62,0.5517241379310345,8,256,2.2,1013,Low,True,False
137,Lenovo,3,3,1,7,35.56,0.9310344827586208,8,256,1.87,1091,Low,False,True
138,Dell,3,2,1,3,35.56,0.6896551724137931,4,128,1.6,935,Low,True,False
139,HP,3,2,1,3,39.62,0.8275862068965517,4,128,2.1,896,Low,True,False
140,Lenovo,3,2,1,3,39.62,0.6896551724137931,4,128,2.2,634,Low,True,False
141,Dell,3,2,1,5,39.62,0.8620689655172414,8,256,1.9,1419,Low,True,False
142,Lenovo,3,2,1,3,39.62,0.9310344827586208,4,128,2.05,800,Low,True,False
143,Lenovo,3,3,1,7,43.18,0.9655172413793103,8,256,3.4,3810,High,False,True
144,Lenovo,3,2,1,5,39.62,0.8620689655172414,8,256,2.3,1054,Low,True,False
145,Dell,3,1,2,7,39.62,0.9310344827586208,8,256,2.2,951,Low,True,False
146,HP,3,2,1,3,33.78,0.8275862068965517,4,128,1.49,913,Low,True,False
147,Dell,3,3,1,7,39.62,0.9655172413793103,16,256,1.93,1953,Medium,True,False
148,Lenovo,4,2,1,7,35.56,0.896551724137931,12,256,1.4,2125,Medium,False,True
149,Lenovo,3,2,1,5,35.56,0.8620689655172414,8,256,1.7,1872,Medium,False,True
150,Dell,5,3,1,7,37.2751931330472,0.9655172413793103,8,256,2.06,2240,Medium,True,False
151,HP,3,2,1,7,39.62,0.9310344827586208,8,256,1.84,1548,Low,True,False
152,Toshiba,3,2,1,7,38.1,0.8620689655172414,8,256,2.2,1777,Medium,False,True
153,Dell,3,1,2,5,39.62,0.8620689655172414,4,128,2.18,723,Low,True,False
154,Lenovo,3,2,1,5,35.56,0.793103448275862,8,256,1.65,1861,Medium,True,False
155,Dell,3,3,1,7,39.62,0.9655172413793103,8,256,2,2312,Medium,True,False
156,Lenovo,3,2,1,5,39.62,0.5517241379310345,4,256,1.8,1053,Low,True,False
157,Acer,4,2,1,5,35.56,0.8620689655172414,8,256,1.8,1167,Low,False,True
158,Razer,1,3,1,7,35.56,0.9655172413793103,16,256,1.95,3301,High,True,False
159,Toshiba,3,2,1,5,33.78,0.793103448275862,8,256,1.2,1541,Low,True,False
160,Lenovo,4,2,1,7,30.48,0.9310344827586208,8,256,1.36,2012,Medium,False,True
161,Dell,4,2,1,5,33.78,0.5517241379310345,8,256,1.2,1842,Medium,True,False
162,Dell,3,1,1,7,39.62,0.6206896551724138,8,256,2.2,1167,Low,True,False
163,Dell,3,2,1,5,35.56,0.8275862068965517,8,256,1.56,1561,Low,True,False
164,Toshiba,3,2,1,5,38.1,0.8620689655172414,8,256,2,1598,Low,False,True
165,Asus,4,2,1,5,35.56,0.8620689655172414,8,256,1.1,1442,Low,True,False
166,Acer,1,3,1,5,39.62,0.8620689655172414,16,256,2.5,1650,Medium,True,False
167,MSI,1,3,1,5,39.62,0.8620689655172414,8,256,2.2,1268,Low,True,False
168,HP,3,1,1,3,43.18,0.6896551724137931,4,256,2.5,888,Low,False,True
169,Lenovo,3,2,1,5,35.56,0.8620689655172414,4,256,1.7,888,Low,True,False
170,Toshiba,3,2,1,5,33.02,0.8620689655172414,8,256,1.5,1236,Low,False,True
171,Dell,3,2,1,5,39.62,0.8620689655172414,8,256,2.18,1010,Low,True,False
172,Lenovo,3,2,1,5,35.56,0.793103448275862,8,256,1.8,1513,Low,True,False
173,Dell,3,3,2,5,35.56,0.9655172413793103,8,256,1.64,1383,Low,True,False
174,Lenovo,3,3,1,5,35.56,0.8620689655172414,8,256,1.87,1089,Low,False,True
175,Dell,3,2,1,5,39.62,0.896551724137931,8,256,1.9,1498,Low,True,False
176,HP,3,3,1,7,43.94,0.9310344827586208,8,256,2.63,1524,Low,True,False
177,Lenovo,4,2,1,5,35.56,0.8620689655172414,8,256,1.32,1904,Medium,False,True
178,Lenovo,3,2,1,5,33.02,0.8620689655172414,8,256,1.44,1219,Low,False,True
179,HP,5,3,1,7,39.62,0.9655172413793103,16,256,2.6,3073,High,True,False
180,Toshiba,3,2,1,5,35.56,0.8620689655172414,8,256,1.25,1950,Medium,False,True
181,Samsung,4,2,1,7,33.78,0.9310344827586208,16,256,0.81,2095,Medium,True,False
182,HP,3,2,1,3,39.62,0.6896551724137931,8,256,1.86,685,Low,True,False
183,HP,3,2,1,5,39.62,0.8275862068965517,8,256,1.84,2414,Medium,True,False
184,HP,5,3,1,7,39.62,0.896551724137931,8,256,2.59,1983,Medium,True,False
185,Dell,4,2,1,7,31.75,0.9655172413793103,16,256,1.18,2361,Medium,True,False
186,Samsung,4,2,1,7,37.2751931330472,0.9310344827586208,8,256,1.31,2031,Medium,True,False
187,Dell,3,1,1,7,39.62,0.9310344827586208,16,256,2.3,1501,Low,True,False
188,Acer,3,2,1,3,35.56,0.8275862068965517,4,128,1.8,808,Low,False,True
189,Dell,1,3,1,5,39.62,0.8620689655172414,8,256,2.62,1251,Low,True,False
190,Dell,3,1,1,3,39.62,0.6896551724137931,8,256,2,939,Low,True,False
191,HP,5,3,1,7,39.62,0.9655172413793103,8,256,3.14,2623,Medium,True,False
192,Asus,3,2,1,5,39.62,0.8620689655172414,8,256,2.37,1396,Low,True,False
193,Dell,4,2,1,5,33.78,0.8620689655172414,8,256,1.29,1904,Medium,True,False
194,Samsung,4,2,1,5,33.78,0.8620689655172414,8,256,0.81,1904,Medium,True,False
195,Dell,3,1,1,5,39.62,0.8620689655172414,8,256,2.18,1003,Low,True,False
196,Lenovo,4,2,1,7,35.56,0.9310344827586208,8,256,1.32,2361,Medium,True,False
197,MSI,1,3,1,5,39.62,0.8620689655172414,8,256,2.4,1523,Low,True,False
198,Acer,3,2,1,3,35.56,0.8275862068965517,8,128,1.5,786,Low,False,True
199,Lenovo,3,2,1,5,35.56,0.793103448275862,8,256,1.7,1507,Low,True,False
200,Lenovo,3,2,1,5,35.56,0.896551724137931,8,256,1.32,2096,Medium,False,True
201,Dell,3,1,1,7,39.62,0.9310344827586208,4,256,2.18,939,Low,True,False
202,Lenovo,4,3,1,7,35.56,0.9655172413793103,8,256,1.96,2417,Medium,False,True
203,Asus,3,3,1,7,38.1,0.9310344827586208,8,256,2.3,1000,Low,False,True
204,Dell,3,2,1,5,39.62,0.8620689655172414,8,128,1.9,1200,Low,True,False
205,HP,3,1,1,5,39.62,0.896551724137931,8,256,1.84,1714,Medium,True,False
206,Toshiba,3,2,1,5,33.78,0.8620689655172414,4,128,1.05,1632,Medium,True,False
207,Acer,3,2,1,5,35.56,0.8620689655172414,8,256,1.56,1146,Low,False,True
208,Toshiba,3,2,1,7,38.1,0.9310344827586208,8,256,2,1763,Medium,False,True
209,Samsung,4,3,1,7,38.1,0.9310344827586208,16,256,1.23,2349,Medium,True,False
210,Dell,4,2,1,7,31.75,0.9655172413793103,8,256,1.6,2147,Medium,True,False
211,Xiaomi,4,3,1,5,33.02,0.793103448275862,8,256,1.28,1188,Low,False,True
212,HP,3,2,1,5,39.62,0.8620689655172414,4,256,2.04,1066,Low,True,False
213,HP,3,2,1,5,35.56,0.8620689655172414,4,128,1.95,1607,Low,True,False
214,Samsung,4,2,1,7,38.1,0.9310344827586208,8,256,1.17,2158,Medium,True,False
215,Lenovo,4,2,1,5,35.56,0.8620689655172414,8,256,1.32,2285,Medium,False,True
216,Toshiba,3,2,1,5,33.78,0.8620689655172414,8,256,1.05,1874,Medium,True,False
217,Dell,3,2,1,5,35.56,0.9655172413793103,8,256,1.6,1531,Low,True,False
218,Lenovo,3,3,1,7,39.62,0.9310344827586208,6,256,2.2,1002,Low,True,False
219,HP,3,3,1,7,39.62,0.9310344827586208,8,256,2.04,1294,Low,True,False
220,Lenovo,3,2,1,5,33.78,0.8620689655172414,4,128,1.44,1119,Low,True,False
221,HP,3,2,1,5,33.78,0.8620689655172414,8,256,1.49,1219,Low,True,False
222,HP,4,1,1,7,39.62,0.8620689655172414,8,256,1.84,1648,Medium,True,False
223,Toshiba,3,3,1,7,38.1,0.896551724137931,16,256,2.4,2509,Medium,False,True
224,Lenovo,4,2,1,7,30.48,0.9310344827586208,8,256,1.36,2096,Medium,False,True
225,HP,3,2,1,5,39.62,0.793103448275862,8,256,2.31,1480,Low,True,False
226,Toshiba,3,2,1,5,35.56,0.793103448275862,4,128,1.47,1404,Low,False,True
227,HP,2,2,1,5,31.75,0.793103448275862,8,256,1.26,2120,Medium,True,False
228,Dell,4,2,1,5,35.56,0.8620689655172414,8,256,1.36,2082,Medium,True,False
229,Dell,4,2,1,5,37.2751931330472,0.8620689655172414,8,256,1.36,1870,Medium,True,False
230,Dell,4,2,1,7,35.56,0.9655172413793103,8,256,1.36,2255,Medium,True,False
231,Toshiba,3,2,1,5,33.78,0.793103448275862,8,256,1.2,1855,Medium,True,False
232,Lenovo,4,2,1,7,35.56,0.896551724137931,8,256,1.7,1891,Medium,False,True
233,Toshiba,3,2,1,5,33.78,0.8275862068965517,8,256,1.2,1950,Medium,True,False
234,Lenovo,4,2,1,5,30.48,0.896551724137931,8,256,1.36,2236,Medium,False,True
235,Lenovo,3,3,1,5,39.62,0.8620689655172414,6,256,2.4,883,Low,True,False
236,Toshiba,3,2,1,5,35.56,0.793103448275862,8,256,1.95,1499,Low,True,False
